Course,MAE,MAE+,MAE-,Precision,Recall,F1
MBE,2.0,,,0.7142857142857143,0.5555555555555556,0.625
F,22.0,,,0.3783783783783784,0.9333333333333333,0.5384615384615384
I,1.0,,,0.6666666666666666,0.75,0.7058823529411765
ISD,1.0,,,0.8333333333333334,0.7142857142857143,0.7692307692307693
FMT,2.0,,,0.75,0.6,0.6666666666666666
ES,4.0,,,0.9545454545454546,0.9130434782608695,0.9333333333333333
TP,3.0,,,0.92,0.9484536082474226,0.934010152284264
SD,2.0,,,0.9326923076923077,0.9150943396226415,0.9238095238095239
MAE,14.0,,,0.8490566037735849,0.6716417910447762,0.75
DP,18.0,,,0.8846153846153846,0.6571428571428571,0.7540983606557377
CSL,15.0,,,0.7307692307692307,0.9047619047619048,0.8085106382978723
SA,17.0,,,0.9090909090909091,0.6,0.7228915662650602
PBN,5.0,,,0.6896551724137931,0.7547169811320755,0.7207207207207207
CSR,16.0,,,0.8974358974358975,0.6363636363636364,0.7446808510638298
SS,7.0,,,0.8076923076923077,0.711864406779661,0.7567567567567568
PCTR,9.0,,,0.9047619047619048,0.7450980392156863,0.8172043010752689
GOP,4.0,,,0.8113207547169812,0.8775510204081632,0.8431372549019608
SO,18.0,,,0.926829268292683,0.6440677966101694,0.76
XC,7.0,,,0.8085106382978723,0.7037037037037037,0.7524752475247525
PDS,7.0,,,0.8666666666666667,0.75,0.8041237113402062
SEC,10.0,,,0.9210526315789473,0.7291666666666666,0.813953488372093
IS,1.0,,,0.9090909090909091,0.9302325581395349,0.9195402298850575
SAR,4.0,,,0.8604651162790697,0.9487179487179487,0.9024390243902439
TFG,2.0,,,0.7916666666666666,0.7307692307692307,0.76
MIC,12.0,,,0.0,0.0,0.0
SC,2.0,,,0.0,0.0,0.0
AE,18.0,,,0.0,0.0,0.0
BD,4.0,,,0.5405405405405406,0.6060606060606061,0.5714285714285714
IU,10.0,,,0.25,0.07142857142857142,0.1111111111111111
RE,7.0,,,0.0,0.0,0.0
