Course,MAE,MAE+,MAE-,Precision,Recall,F1
330054,0.0,0.0,0.0,,,
330058,0.5714285714285714,1.0,1.0,,,
330060,0.0,0.0,0.0,,,
330063,0.0,0.0,0.0,,,
330066,0.0,0.0,0.0,,,
330082,0.14285714285714285,1.0,0.0,,,
330094,1.5714285714285714,2.0,4.5,,,
330097,0.0,0.0,0.0,,,
330099,1.8571428571428572,3.5,2.0,,,
330101,0.0,0.0,0.0,,,
330102,2.142857142857143,2.0,3.5,,,
330119,3.0,2.6666666666666665,13.0,,,
330120,3.0,4.666666666666667,2.3333333333333335,,,
330212,6.571428571428571,7.0,6.0,,,
330213,5.714285714285714,5.4,6.5,,,
330214,5.857142857142857,14.0,6.5,,,
330215,4.285714285714286,9.0,6.0,,,
330216,6.428571428571429,9.666666666666666,16.0,,,
330217,2.5714285714285716,4.0,3.5,,,
330218,1.7142857142857142,1.0,5.5,,,
330219,2.0,1.3333333333333333,3.3333333333333335,,,
330220,2.0,0.0,4.666666666666667,,,
330221,2.0,1.0,4.0,,,
330222,3.4285714285714284,6.5,3.6666666666666665,,,
330223,1.2857142857142858,1.5,6.0,,,
330224,2.142857142857143,2.0,5.5,,,
330225,2.0,3.5,3.5,,,
330226,1.4285714285714286,2.6666666666666665,1.0,,,
330227,2.4285714285714284,6.0,5.0,,,
330228,1.4285714285714286,4.5,1.0,,,
330229,0.5714285714285714,1.3333333333333333,0.0,,,
330230,2.5714285714285716,4.25,1.0,,,
330231,2.7142857142857144,5.0,2.0,,,
330232,1.4285714285714286,2.3333333333333335,3.0,,,
330233,2.857142857142857,10.0,3.3333333333333335,,,
330234,1.8571428571428572,3.0,5.0,,,
330235,3.0,4.333333333333333,4.0,,,
330236,1.1428571428571428,3.0,1.6666666666666667,,,
330237,2.2857142857142856,2.5,5.5,,,
330238,0.8571428571428571,2.0,2.0,,,
330239,1.2857142857142858,3.0,1.5,,,
330240,3.2857142857142856,5.0,6.5,,,
330241,2.857142857142857,5.666666666666667,3.0,,,
330242,2.7142857142857144,3.75,2.0,,,
330243,2.142857142857143,2.3333333333333335,2.0,,,
330244,1.2857142857142858,1.0,2.6666666666666665,,,
330245,0.0,0.0,0.0,,,
330246,2.142857142857143,3.0,2.0,,,
330247,3.0,4.333333333333333,8.0,,,
330248,2.4285714285714284,8.5,0.0,,,
330249,0.0,0.0,0.0,,,
